Date,Ticker,Z-Score,Z-Score_avg,Z-Score_hi,Z-Score_lo
2025-12-04,CBOE,0.71,0.78,0.88,0.68
2025-12-05,CBOE,0.85,0.78,0.88,0.68
2025-12-04,CBRE,-0.71,-0.9,-0.63,-1.17
2025-12-05,CBRE,-1.09,-0.9,-0.63,-1.17
2025-12-04,CCI,0.71,0.91,1.18,0.63
2025-12-05,CCI,1.1,0.91,1.18,0.63
2025-12-04,CCJ,0.71,0.79,0.9,0.68
2025-12-05,CCJ,0.87,0.79,0.9,0.68
2025-12-04,CCL,0.71,-0.2,1.09,-1.49
2025-12-05,CCL,-1.11,-0.2,1.09,-1.49
2025-12-04,CDNS,0.71,0.58,0.76,0.4
2025-12-05,CDNS,0.45,0.58,0.76,0.4
2025-12-04,CDW,-0.71,-0.53,-0.29,-0.78
2025-12-05,CDW,-0.36,-0.53,-0.29,-0.78
2025-12-04,CEG,0.71,0.93,1.24,0.62
2025-12-05,CEG,1.15,0.93,1.24,0.62
2025-12-04,CF,0.71,0.93,1.24,0.62
2025-12-05,CF,1.15,0.93,1.24,0.62
2025-12-04,CFG,-0.71,-0.33,0.21,-0.87
2025-12-05,CFG,0.05,-0.33,0.21,-0.87
2025-12-04,CHD,-0.71,-0.68,-0.63,-0.72
2025-12-05,CHD,-0.64,-0.68,-0.63,-0.72
2025-12-04,CHRW,0.71,0.39,0.84,-0.07
2025-12-05,CHRW,0.06,0.39,0.84,-0.07
2025-12-04,CHTR,0.71,0.93,1.24,0.62
2025-12-05,CHTR,1.15,0.93,1.24,0.62
2025-12-04,CI,-0.71,-0.75,-0.69,-0.81
2025-12-05,CI,-0.79,-0.75,-0.69,-0.81
2025-12-04,CINF,0.71,0.21,0.92,-0.49
2025-12-05,CINF,-0.28,0.21,0.92,-0.49
2025-12-04,CIVI,-0.71,-0.77,-0.68,-0.87
2025-12-05,CIVI,-0.84,-0.77,-0.68,-0.87
2025-12-04,CL,-0.71,0.21,1.52,-1.09
2025-12-05,CL,1.14,0.21,1.52,-1.09
2025-12-04,CLX,0.71,0.54,0.78,0.31
2025-12-05,CLX,0.38,0.54,0.78,0.31
2025-12-04,CMBT,0.71,0.63,0.75,0.5
2025-12-05,CMBT,0.54,0.63,0.75,0.5
2025-12-04,CMCSA,0.71,0.55,0.78,0.32
2025-12-05,CMCSA,0.39,0.55,0.78,0.32
2025-12-04,CME,-0.71,-0.89,-0.64,-1.14
2025-12-05,CME,-1.07,-0.89,-0.64,-1.14
2025-12-04,CMG,0.71,0.58,0.76,0.4
2025-12-05,CMG,0.45,0.58,0.76,0.4
2025-12-04,CMI,0.71,0.86,1.06,0.65
2025-12-05,CMI,1.0,0.86,1.06,0.65
2025-12-04,CMRE,0.71,0.92,1.2,0.63
2025-12-05,CMRE,1.12,0.92,1.2,0.63
2025-12-04,CMS,-0.71,0.19,1.45,-1.08
2025-12-05,CMS,1.08,0.19,1.45,-1.08
2025-12-04,CNC,-0.71,-0.34,0.2,-0.87
2025-12-05,CNC,0.04,-0.34,0.2,-0.87
2025-12-04,CNP,-0.71,-0.89,-0.64,-1.13
2025-12-05,CNP,-1.06,-0.89,-0.64,-1.13
2025-12-04,CNR,-0.71,-0.6,-0.44,-0.76
2025-12-05,CNR,-0.49,-0.6,-0.44,-0.76
2025-12-04,COF,0.71,0.9,1.16,0.63
2025-12-05,COF,1.08,0.9,1.16,0.63
2025-12-04,COIN,0.71,0.56,0.77,0.36
2025-12-05,COIN,0.42,0.56,0.77,0.36
2025-12-04,COMT,-0.71,-0.73,-0.7,-0.75
2025-12-05,COMT,-0.74,-0.73,-0.7,-0.75
2025-12-04,COO,0.71,0.93,1.24,0.62
2025-12-05,COO,1.15,0.93,1.24,0.62
2025-12-04,COP,-0.71,-0.78,-0.68,-0.88
2025-12-05,COP,-0.85,-0.78,-0.68,-0.88
2025-12-04,COR,0.71,0.62,0.75,0.49
2025-12-05,COR,0.53,0.62,0.75,0.49
2025-12-04,CORN,-0.71,-0.81,-0.67,-0.94
2025-12-05,CORN,-0.9,-0.81,-0.67,-0.94
2025-12-04,COST,0.71,0.5,0.8,0.19
2025-12-05,COST,0.28,0.5,0.8,0.19
2025-12-04,CPAY,-0.71,0.22,1.54,-1.1
2025-12-05,CPAY,1.15,0.22,1.54,-1.1
2025-12-04,CPB,-0.71,-0.19,0.55,-0.93
2025-12-05,CPB,0.33,-0.19,0.55,-0.93
2025-12-04,CPER,-0.71,-0.83,-0.66,-0.99
2025-12-05,CPER,-0.94,-0.83,-0.66,-0.99
2025-12-04,CPRT,0.71,0.21,0.92,-0.5
2025-12-05,CPRT,-0.29,0.21,0.92,-0.5
2025-12-04,CPT,0.71,0.44,0.82,0.05
2025-12-05,CPT,0.16,0.44,0.82,0.05
2025-12-04,CRESY,-0.71,-0.74,-0.7,-0.77
2025-12-05,CRESY,-0.76,-0.74,-0.7,-0.77
2025-12-04,CRL,-0.71,-0.81,-0.67,-0.95
2025-12-05,CRL,-0.91,-0.81,-0.67,-0.95
2025-12-04,CRM,0.71,0.82,0.98,0.66
2025-12-05,CRM,0.93,0.82,0.98,0.66
2025-12-04,CRWD,0.71,0.53,0.79,0.26
2025-12-05,CRWD,0.34,0.53,0.79,0.26
2025-12-04,CSCO,0.71,0.6,0.76,0.43
2025-12-05,CSCO,0.48,0.6,0.76,0.43
2025-12-04,CSGP,0.71,0.44,0.82,0.05
2025-12-05,CSGP,0.16,0.44,0.82,0.05
2025-12-04,CSX,-0.71,-0.76,-0.69,-0.84
2025-12-05,CSX,-0.82,-0.76,-0.69,-0.84
2025-12-04,CTAS,-0.71,0.18,1.43,-1.08
2025-12-05,CTAS,1.06,0.18,1.43,-1.08
2025-12-04,CTRA,-0.71,-0.78,-0.68,-0.88
2025-12-05,CTRA,-0.85,-0.78,-0.68,-0.88
2025-12-04,CTSH,-0.71,-0.75,-0.7,-0.79
2025-12-05,CTSH,-0.78,-0.75,-0.7,-0.79
2025-12-04,CTVA,0.71,0.47,0.81,0.13
2025-12-05,CTVA,0.23,0.47,0.81,0.13
2025-12-04,CVS,0.71,0.5,0.8,0.19
2025-12-05,CVS,0.28,0.5,0.8,0.19
2025-12-04,CVX,-0.71,-0.66,-0.58,-0.73
2025-12-05,CVX,-0.6,-0.66,-0.58,-0.73
2025-12-04,D,0.71,0.93,1.24,0.62
2025-12-05,D,1.15,0.93,1.24,0.62
2025-12-04,DAL,0.71,0.52,0.79,0.24
2025-12-05,DAL,0.32,0.52,0.79,0.24
2025-12-04,DASH,0.71,0.31,0.88,-0.26
2025-12-05,DASH,-0.09,0.31,0.88,-0.26
2025-12-04,DAY,0.71,0.84,1.01,0.66
2025-12-05,DAY,0.96,0.84,1.01,0.66
2025-12-04,DBA,-0.71,-0.79,-0.68,-0.9
2025-12-05,DBA,-0.87,-0.79,-0.68,-0.9
2025-12-04,DBB,-0.71,-0.77,-0.69,-0.85
2025-12-05,DBB,-0.83,-0.77,-0.69,-0.85
2025-12-04,DBC,-0.71,-0.68,-0.63,-0.72
2025-12-05,DBC,-0.64,-0.68,-0.63,-0.72
2025-12-04,DD,-0.71,0.15,1.37,-1.07
2025-12-05,DD,1.01,0.15,1.37,-1.07
2025-12-04,DDOG,0.71,0.45,0.82,0.08
2025-12-05,DDOG,0.19,0.45,0.82,0.08
2025-12-04,DE,-0.71,-0.03,0.93,-0.99
2025-12-05,DE,0.65,-0.03,0.93,-0.99
2025-12-04,DECK,-0.71,-0.66,-0.59,-0.73
2025-12-05,DECK,-0.61,-0.66,-0.59,-0.73
2025-12-04,DELL,-0.71,-0.89,-0.64,-1.14
2025-12-05,DELL,-1.07,-0.89,-0.64,-1.14
2025-12-04,DG,0.71,0.54,0.78,0.31
2025-12-05,DG,0.38,0.54,0.78,0.31
2025-12-04,DGX,0.71,0.69,0.72,0.66
2025-12-05,DGX,0.67,0.69,0.72,0.66
2025-12-04,DHI,0.71,0.38,0.85,-0.09
2025-12-05,DHI,0.05,0.38,0.85,-0.09
2025-12-04,DHR,0.71,0.61,0.75,0.47
2025-12-05,DHR,0.51,0.61,0.75,0.47
2025-12-04,DHT,0.71,0.21,0.92,-0.49
2025-12-05,DHT,-0.28,0.21,0.92,-0.49
2025-12-04,DIA,0.71,0.35,0.86,-0.16
2025-12-05,DIA,-0.01,0.35,0.86,-0.16
2025-12-04,DIS,-0.71,-0.78,-0.68,-0.88
2025-12-05,DIS,-0.85,-0.78,-0.68,-0.88
2025-12-04,DJI,0.71,0.31,0.88,-0.26
2025-12-05,DJI,-0.09,0.31,0.88,-0.26
2025-12-04,DLR,-0.71,-0.58,-0.4,-0.76
2025-12-05,DLR,-0.45,-0.58,-0.4,-0.76
2025-12-04,DLTR,-0.71,-0.37,0.11,-0.85
