Date,Ticker,daily_return_pct,daily_return_avg_pct,daily_return_hi_pct,daily_return_lo_pct
2025-12-03,AVGO,-0.0025,0.0028,0.018,-0.0125
2025-12-04,AVGO,0.0011,0.0028,0.018,-0.0125
2025-12-05,AVGO,0.0242,0.0028,0.018,-0.0125
2025-12-02,AVY,-0.0018,0.0098,0.0244,-0.0048
2025-12-03,AVY,0.0196,0.0098,0.0244,-0.0048
2025-12-04,AVY,-0.0036,0.0098,0.0244,-0.0048
2025-12-05,AVY,0.025,0.0098,0.0244,-0.0048
2025-12-02,AWK,-0.0019,-0.0028,0.006,-0.0117
2025-12-03,AWK,0.0017,-0.0028,0.006,-0.0117
2025-12-04,AWK,-0.0156,-0.0028,0.006,-0.0117
2025-12-05,AWK,0.0044,-0.0028,0.006,-0.0117
2025-12-02,AXON,0.0085,0.0082,0.0136,0.0028
2025-12-03,AXON,0.0108,0.0082,0.0136,0.0028
2025-12-04,AXON,0.013,0.0082,0.0136,0.0028
2025-12-05,AXON,0.0006,0.0082,0.0136,0.0028
2025-12-02,AXP,0.0011,0.0069,0.017,-0.0032
2025-12-03,AXP,0.0206,0.0069,0.017,-0.0032
2025-12-04,AXP,0.0082,0.0069,0.017,-0.0032
2025-12-05,AXP,-0.0022,0.0069,0.017,-0.0032
2025-12-02,AZO,-0.0305,-0.0079,0.0077,-0.0234
2025-12-03,AZO,-0.001,-0.0079,0.0077,-0.0234
2025-12-04,AZO,0.0046,-0.0079,0.0077,-0.0234
2025-12-05,AZO,-0.0046,-0.0079,0.0077,-0.0234
2025-12-02,BA,0.1015,0.0211,0.075,-0.0328
2025-12-03,BA,-0.0138,0.0211,0.075,-0.0328
2025-12-04,BA,-0.0033,0.0211,0.075,-0.0328
2025-12-05,BA,0.0001,0.0211,0.075,-0.0328
2025-12-02,BAC,-0.0009,0.0033,0.0126,-0.0059
2025-12-03,BAC,0.0169,0.0033,0.0126,-0.0059
2025-12-04,BAC,0.0013,0.0033,0.0126,-0.0059
2025-12-05,BAC,-0.0039,0.0033,0.0126,-0.0059
2025-12-02,BALL,-0.0126,0.0,0.0088,-0.0088
2025-12-03,BALL,0.0076,0.0,0.0088,-0.0088
2025-12-04,BALL,0.0014,0.0,0.0088,-0.0088
2025-12-05,BALL,0.0037,0.0,0.0088,-0.0088
2025-12-02,BAX,-0.0126,-0.0071,0.0051,-0.0193
2025-12-03,BAX,0.0027,-0.0071,0.0051,-0.0193
