Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-02-09,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-21.0,-49.0,-28.0
2026-02-09,EWM,ISHARES:MSCI MALAYSIA,,Foreign,5.0,-6.0,-11.0
2026-02-09,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,4.0,-37.0,-41.0
2026-02-09,EWO,ISHARES:MSCI AUSTRIA,,Foreign,21.0,38.0,17.0
2026-02-09,EWP,ISHARES:MSCI SPAIN,,Foreign,1.0,26.0,25.0
2026-02-09,EWQ,ISHARES:MSCI FRANCE,,Foreign,-39.0,-24.0,15.0
2026-02-09,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-15.0,22.0,37.0
2026-02-09,EWT,ISHARES:MSCI TAIWAN,,Foreign,2.0,-20.0,-22.0
2026-02-09,EWU,ISHARES:MSCI UK,,Foreign,32.0,-5.0,-37.0
2026-02-09,EWW,ISHARES:MSCI MEXICO,,Foreign,-26.0,-35.0,-9.0
2026-02-09,EWY,ISHARES:MSCI S KOREA,,Foreign,40.0,29.0,-11.0
2026-02-09,EWZ,ISHARES:MSCI BRAZIL,,Foreign,32.0,-22.0,-54.0
2026-02-09,EXC,EXELON ,Utilities,Utilities,17.0,11.0,-6.0
2026-02-09,EXE,EXPAND ENERGY ,Energy,Energy,-15.0,2.0,17.0
2026-02-09,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,81.0,47.0,-34.0
2026-02-09,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,-18.0,-0.0,18.0
2026-02-09,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,13.0,-3.0,-16.0
2026-02-09,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,36.0,20.0,-16.0
2026-02-09,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,-51.0,-53.0,-2.0
2026-02-09,FAST,FASTENAL COMPANY,Industrials,Industrials,-5.0,-62.0,-57.0
2026-02-09,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,49.0,35.0,-14.0
2026-02-09,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,-25.0,0.0,25.0
2026-02-09,FDX,FEDEX ,Industrials,Industrials,0.0,-56.0,-56.0
2026-02-09,FE,FIRSTENERGY CORP.,Utilities,Utilities,12.0,-16.0,-28.0
2026-02-09,FFIV,"F5, INC.",Information Technology,Information Technology,0.0,-22.0,-22.0
2026-02-09,FICO,FAIR ISAAC ,Information Technology,Information Technology,-9.0,-37.0,-28.0
2026-02-09,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,-2.0,39.0,41.0
2026-02-09,FISV,"FISERV, INC.",Financials,Financials,-13.0,-22.0,-9.0
2026-02-09,FITB,FIFTH THIRD BANCORP,Financials,Financials,-25.0,-37.0,-12.0
2026-02-09,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,30.0,40.0,10.0
2026-02-09,FOXA,FOX ,Communication Services,Communication Services,-54.0,0.0,54.0
2026-02-09,FRO,FRONTLINE PLC,,MR Discretion,-10.0,-56.0,-46.0
2026-02-09,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-4.0,-17.0,-13.0
2026-02-09,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,21.0,56.0,35.0
2026-02-09,FTI,TECHNIPFMC PLC,,MR Discretion,65.0,-20.0,-85.0
2026-02-09,FTNT,"FORTINET, INC.",Information Technology,Information Technology,1.0,-43.0,-44.0
2026-02-09,FTV,FORTIVE ,Industrials,Industrials,-70.0,-57.0,13.0
2026-02-09,FVX,5 YR TSY YLD NDX,Yields,Yields,92.0,18.0,-74.0
2026-02-09,FXA,INVESCO:AU DOLLAR,,Currencies,0.0,-16.0,-16.0
2026-02-09,FXB,INVESCO:GBP STERLING,,Currencies,8.0,33.0,25.0
2026-02-09,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,8.0,15.0,7.0
2026-02-09,FXE,INVESCO:EURO,,Currencies,6.0,14.0,8.0
2026-02-09,FXY,INVESCO:JAPANESE YEN,,Currencies,30.0,8.0,-22.0
2026-02-09,GD,GENERAL DYNAMICS ,Industrials,Industrials,24.0,-1.0,-25.0
2026-02-09,GDDY,GODADDY INC.,Information Technology,Information Technology,-5.0,-5.0,-0.0
2026-02-09,GDX,VANECK:GOLD MINERS,,Commodities,32.0,37.0,5.0
2026-02-09,GDXJ,VANECK:JR GOLD MINERS,,Commodities,-15.0,37.0,52.0
2026-02-09,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,-17.0,38.0,55.0
2026-02-09,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,-19.0,4.0,23.0
2026-02-09,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,-14.0,-3.0,11.0
2026-02-09,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,-41.0,-38.0,3.0
2026-02-09,GEV,GE VERNOVA INC.,Industrials,Industrials,-34.0,-15.0,19.0
2026-02-09,GGB,GERDAU SA,,MR Discretion,68.0,34.0,-34.0
2026-02-09,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,35.0,-8.0,-43.0
2026-02-09,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,-50.0,-60.0,-10.0
