Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2025-12-16,DVA,DAVITA INC.,Health Care,Health Care,0.4,70.4,70.0
2025-12-16,DVN,DEVON ENERGY ,Energy,Energy,-59.3,38.9,98.2
2025-12-16,DXCM,"DEXCOM, INC.",Health Care,Health Care,48.2,96.0,47.8
2025-12-16,EA,ELECTRONIC ARTS INC.,Communication Services,Communication Services,4.5,20.4,15.9
2025-12-16,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,-23.2,28.2,51.4
2025-12-16,EC,ECOPETROL SA,,MR Discretion,-67.7,0.2,67.9
2025-12-16,ECH,ISHARES:MSCI CHILE,,Foreign,-19.0,54.0,73.0
2025-12-16,ECL,ECOLAB INC.,Materials,Materials,-32.0,58.5,90.5
2025-12-16,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,-36.7,25.8,62.5
2025-12-16,EDEN,ISHARES:MSCI DENMARK,,Foreign,8.0,79.8,71.8
2025-12-16,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,-7.3,17.1,24.4
2025-12-16,EFNL,ISHARES:MSCI FINLAND,,Foreign,31.5,59.9,28.4
2025-12-16,EFX,EQUIFAX INC.,Industrials,Industrials,30.2,91.7,61.5
2025-12-16,EG,"EVEREST GROUP, LTD.",Financials,Financials,5.2,79.6,74.4
2025-12-16,EIDO,ISHARES:MSCI INDONESIA,,Foreign,-8.2,57.5,65.7
2025-12-16,EIRL,ISHARES:MSCI IRELAND,,Foreign,-1.0,88.1,89.1
2025-12-16,EIS,ISHARES:MSCI ISRAEL,,Foreign,18.4,58.3,39.9
2025-12-16,EIX,EDISON INTERNATIONAL,Utilities,Utilities,-35.3,52.0,87.3
2025-12-16,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,67.6,95.6,28.0
2025-12-16,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,1.8,74.6,72.8
2025-12-16,EME,"EMCOR GROUP, INC.",Industrials,Industrials,14.9,50.8,35.9
2025-12-16,EMN,EASTMAN CHEMICAL COMPANY,Materials,Materials,9.2,92.9,83.7
2025-12-16,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,31.1,74.2,43.1
2025-12-16,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,20.8,70.0,49.2
2025-12-16,EOG,"EOG RESOURCES, INC.",Energy,Energy,-52.3,18.5,70.8
2025-12-16,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,1.4,96.2,94.8
2025-12-16,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,5.2,88.7,83.5
2025-12-16,EPOL,ISHARES:MSCI POLAND,,Foreign,24.8,53.6,28.8
2025-12-16,EPU,ISHARES:MSCI PERU,,Foreign,43.0,94.2,51.2
2025-12-16,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,35.5,37.3,1.8
2025-12-16,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,-0.4,81.5,81.9
2025-12-16,EQT,EQT ,Energy,Energy,-91.8,3.6,95.4
2025-12-16,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,24.4,67.9,43.5
2025-12-16,ES,EVERSOURCE ENERGY,Utilities,Utilities,2.3,33.1,30.8
2025-12-16,ES=F,E-MINI S&P 500 FUTURES,,Futures,29.4,66.9,37.5
2025-12-16,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,-32.4,58.3,90.7
2025-12-16,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,21.8,38.7,16.9
2025-12-16,ETR,ENTERGY ,Utilities,Utilities,-37.7,13.5,51.2
2025-12-16,EVRG,"EVERGY, INC.",Utilities,Utilities,-24.2,8.5,32.7
2025-12-16,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,-20.6,49.4,70.0
2025-12-16,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,40.4,58.3,17.9
2025-12-16,EWC,ISHARES:MSCI CANADA,,Foreign,4.1,83.7,79.6
2025-12-16,EWD,ISHARES:MSCI SWEDEN,,Foreign,24.4,57.7,33.3
2025-12-16,EWG,ISHARES:MSCI GERMANY,,Foreign,34.0,78.4,44.4
2025-12-16,EWH,ISHARES:MSCI HONG KONG,,Foreign,-59.2,7.3,66.5
2025-12-16,EWI,ISHARES:MSCI ITALY,,Foreign,-4.4,45.6,50.0
2025-12-16,EWJ,ISHARES:MSCI JAPAN,,Foreign,-1.6,25.2,26.8
2025-12-16,EWK,ISHARES:MSCI BELGIUM,,Foreign,-36.3,28.2,64.5
2025-12-16,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-3.0,74.2,77.2
2025-12-16,EWM,ISHARES:MSCI MALAYSIA,,Foreign,-2.1,68.7,70.8
2025-12-16,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,6.0,28.6,22.6
2025-12-16,EWO,ISHARES:MSCI AUSTRIA,,Foreign,20.5,91.9,71.4
2025-12-16,EWP,ISHARES:MSCI SPAIN,,Foreign,7.2,55.0,47.8
2025-12-16,EWQ,ISHARES:MSCI FRANCE,,Foreign,10.9,53.4,42.5
2025-12-16,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-21.5,6.3,27.8
2025-12-16,EWT,ISHARES:MSCI TAIWAN,,Foreign,4.2,28.2,24.0
2025-12-16,EWU,ISHARES:MSCI UK,,Foreign,2.0,48.6,46.6
2025-12-16,EWW,ISHARES:MSCI MEXICO,,Foreign,9.4,68.1,58.7
2025-12-16,EWY,ISHARES:MSCI S KOREA,,Foreign,-8.8,8.3,17.1
2025-12-16,EWZ,ISHARES:MSCI BRAZIL,,Foreign,-49.6,33.9,83.5
2025-12-16,EXC,EXELON ,Utilities,Utilities,-30.1,14.5,44.6
2025-12-16,EXE,EXPAND ENERGY ,Energy,Energy,-89.7,10.1,99.8
2025-12-16,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,-17.4,81.2,98.6
2025-12-16,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,13.9,91.9,78.0
2025-12-16,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,2.0,56.0,54.0
2025-12-16,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,30.0,78.8,48.8
2025-12-16,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,-30.6,59.9,90.5
2025-12-16,FAST,FASTENAL COMPANY,Industrials,Industrials,61.1,88.1,27.0
2025-12-16,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,38.1,99.8,61.7
2025-12-16,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,5.6,93.7,88.1
