Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2025-10-17,VRSK,"VERISK ANALYTICS, INC.",Industrials,Industrials,70.0,0.0,-70.0
2025-10-17,VRSN,"VERISIGN, INC.",Information Technology,Information Technology,0.0,0.0,0.0
2025-10-17,VRTX,VERTEX PHARMACEUTICALS INC.,Health Care,Health Care,-7.0,-55.0,-48.0
2025-10-17,VST,VISTRA CORP.,Utilities,Utilities,23.0,64.0,41.0
2025-10-17,VTR,"VENTAS, INC.",Real Estate,Real Estate,-88.0,-6.0,82.0
2025-10-17,VTRS,VIATRIS INC.,Health Care,Health Care,-48.0,-53.0,-5.0
2025-10-17,VXN,CBOE NASDAQ MKT VOL NDX,,Volatility,0.0,-23.0,-23.0
2025-10-17,VZ,VERIZON COMMUNICATIONS INC.,Communication Services,Communication Services,0.0,0.0,0.0
2025-10-17,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES ,Industrials,Industrials,-2.0,14.0,16.0
2025-10-17,WAT,WATERS ,Health Care,Health Care,-6.0,-53.0,-47.0
2025-10-17,WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,Communication Services,23.0,25.0,2.0
2025-10-17,WDAY,"WORKDAY, INC.",Information Technology,Information Technology,63.0,12.0,-51.0
2025-10-17,WDC,WESTERN DIGITAL ,Information Technology,Information Technology,-5.0,19.0,24.0
2025-10-17,WEC,"WEC ENERGY GROUP, INC.",Utilities,Utilities,-15.0,20.0,35.0
2025-10-17,WELL,WELLTOWER INC.,Real Estate,Real Estate,-76.0,0.0,76.0
2025-10-17,WFC,WELLS FARGO & COMPANY,Financials,Financials,-15.0,25.0,40.0
2025-10-17,WM,"WASTE MANAGEMENT, INC.",Industrials,Industrials,50.0,26.0,-24.0
2025-10-17,WMB,"THE WILLIAMS COMPANIES, INC.",Energy,Energy,0.0,41.0,41.0
2025-10-17,WMT,WALMART INC.,Consumer Staples,Consumer Staples,-38.0,22.0,60.0
2025-10-17,WRB,W. R. BERKLEY ,Financials,Financials,34.0,67.0,33.0
2025-10-17,WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,Consumer Discretionary,0.0,64.0,64.0
2025-10-17,WST,"WEST PHARMACEUTICAL SERVICES, INC.",Health Care,Health Care,-21.0,-43.0,-22.0
2025-10-17,WTW,WILLIS TOWERS WATSON,Financials,Financials,11.0,67.0,56.0
2025-10-17,WY,WEYERHAEUSER COMPANY,Real Estate,Real Estate,31.0,-4.0,-35.0
2025-10-17,WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,Consumer Discretionary,11.0,35.0,24.0
2025-10-17,XEL,XCEL ENERGY INC.,Utilities,Utilities,17.0,-15.0,-32.0
2025-10-17,XES,SPDR S&P OIL&GAS E&S,,MR Discretion,20.0,-22.0,-42.0
2025-10-17,XLB,SEL SECTOR:MATRLS SPDR,,Sector & Style ETFs,14.0,4.0,-10.0
2025-10-17,XLC,SEL SECTOR:COMM SVC SPDR,,Sector & Style ETFs,-53.0,-2.0,51.0
2025-10-17,XLE,SEL SECTOR:ENERGY SPDR,,Sector & Style ETFs,0.0,23.0,23.0
2025-10-17,XLF,SEL SECTOR:FINL S SPDR,,Sector & Style ETFs,-2.0,26.0,28.0
2025-10-17,XLI,SEL SECTOR:INDUST SPDR,,Sector & Style ETFs,-11.0,55.0,66.0
2025-10-17,XLK,SEL SECTOR:TECH SPDR,,Sector & Style ETFs,-36.0,14.0,50.0
2025-10-17,XLP,SEL SECTOR:C STP SPDR,,Sector & Style ETFs,-0.0,-0.0,0.0
2025-10-17,XLRE,SEL SECTOR:RL EST SPDR,,Sector & Style ETFs,-34.0,-42.0,-8.0
2025-10-17,XLU,SEL SECTOR:UTIL SPDR,,Sector & Style ETFs,0.0,-13.0,-13.0
2025-10-17,XLV,SEL SECTOR:H CARE SPDR,,Sector & Style ETFs,-59.0,-83.0,-24.0
2025-10-17,XLY,SEL SECTOR:C DSC SPDR,,Sector & Style ETFs,34.0,85.0,51.0
2025-10-17,XOM,EXXON MOBIL ,Energy,Energy,0.0,6.0,6.0
2025-10-17,XOP,SPDR S&P OIL&GAS EXP,,MR Discretion,-10.0,-2.0,8.0
2025-10-17,XYL,XYLEM INC.,Industrials,Industrials,-1.0,36.0,37.0
2025-10-17,XYZ,"BLOCK, INC.",Financials,Financials,0.0,12.0,12.0
2025-10-17,YUM,"YUM! BRANDS, INC.",Consumer Discretionary,Consumer Discretionary,-3.0,55.0,58.0
2025-10-17,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Health Care,Health Care,-12.0,-0.0,12.0
2025-10-17,ZBRA,ZEBRA TECHNOLOGIES ,Information Technology,Information Technology,-3.0,23.0,26.0
2025-10-17,ZTS,ZOETIS INC.,Health Care,Health Care,-9.0,-36.0,-27.0
