Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2024-11-01,MDY,59.0,41.5,57.6,25.4
2024-12-01,MDY,53.9,41.5,57.6,25.4
2025-01-01,MDY,41.4,41.5,57.6,25.4
2025-02-01,MDY,38.9,41.5,57.6,25.4
2025-03-01,MDY,48.7,41.5,57.6,25.4
2025-04-01,MDY,87.3,41.5,57.6,25.4
2025-05-01,MDY,45.2,41.5,57.6,25.4
2025-06-01,MDY,29.8,41.5,57.6,25.4
2025-07-01,MDY,25.1,41.5,57.6,25.4
2025-08-01,MDY,39.3,41.5,57.6,25.4
2025-09-01,MDY,21.7,41.5,57.6,25.4
2025-10-01,MDY,30.6,41.5,57.6,25.4
2025-11-01,MDY,38.4,41.5,57.6,25.4
2025-12-01,MDY,23.8,41.5,57.6,25.4
2026-01-01,MDY,45.4,41.5,57.6,25.4
2026-02-01,MDY,33.6,41.5,57.6,25.4
2024-11-01,MET,11.6,8.3,11.5,5.1
2024-12-01,MET,9.9,8.3,11.5,5.1
2025-01-01,MET,8.4,8.3,11.5,5.1
2025-02-01,MET,5.6,8.3,11.5,5.1
2025-03-01,MET,9.7,8.3,11.5,5.1
2025-04-01,MET,17.5,8.3,11.5,5.1
2025-05-01,MET,7.1,8.3,11.5,5.1
2025-06-01,MET,3.8,8.3,11.5,5.1
2025-07-01,MET,7.4,8.3,11.5,5.1
2025-08-01,MET,9.8,8.3,11.5,5.1
2025-09-01,MET,4.6,8.3,11.5,5.1
2025-10-01,MET,5.9,8.3,11.5,5.1
2025-11-01,MET,7.2,8.3,11.5,5.1
2025-12-01,MET,8.2,8.3,11.5,5.1
2026-01-01,MET,8.1,8.3,11.5,5.1
2026-02-01,MET,6.8,8.3,11.5,5.1
2024-11-01,META,50.6,93.4,119.5,67.4
2024-12-01,META,62.8,93.4,119.5,67.4
2025-01-01,META,123.0,93.4,119.5,67.4
2025-02-01,META,99.1,93.4,119.5,67.4
2025-03-01,META,128.0,93.4,119.5,67.4
2025-04-01,META,112.9,93.4,119.5,67.4
2025-05-01,META,92.2,93.4,119.5,67.4
2025-06-01,META,103.6,93.4,119.5,67.4
2025-07-01,META,93.6,93.4,119.5,67.4
2025-08-01,META,65.3,93.4,119.5,67.4
2025-09-01,META,69.1,93.4,119.5,67.4
2025-10-01,META,113.6,93.4,119.5,67.4
2025-11-01,META,78.1,93.4,119.5,67.4
2025-12-01,META,73.5,93.4,119.5,67.4
2026-01-01,META,144.0,93.4,119.5,67.4
2026-02-01,META,74.8,93.4,119.5,67.4
2024-11-01,MGM,3.0,5.3,6.8,3.8
2024-12-01,MGM,5.2,5.3,6.8,3.8
2025-01-01,MGM,3.5,5.3,6.8,3.8
2025-02-01,MGM,8.7,5.3,6.8,3.8
2025-03-01,MGM,6.9,5.3,6.8,3.8
2025-04-01,MGM,7.4,5.3,6.8,3.8
2025-05-01,MGM,4.9,5.3,6.8,3.8
2025-06-01,MGM,4.1,5.3,6.8,3.8
2025-07-01,MGM,4.7,5.3,6.8,3.8
2025-08-01,MGM,6.3,5.3,6.8,3.8
2025-09-01,MGM,5.0,5.3,6.8,3.8
2025-10-01,MGM,6.4,5.3,6.8,3.8
2025-11-01,MGM,5.1,5.3,6.8,3.8
2025-12-01,MGM,3.3,5.3,6.8,3.8
2026-01-01,MGM,5.2,5.3,6.8,3.8
2026-02-01,MGM,6.0,5.3,6.8,3.8
2024-11-01,MKC,6.7,7.6,9.4,5.8
2024-12-01,MKC,7.1,7.6,9.4,5.8
2025-01-01,MKC,8.1,7.6,9.4,5.8
2025-02-01,MKC,7.8,7.6,9.4,5.8
2025-03-01,MKC,10.1,7.6,9.4,5.8
2025-04-01,MKC,12.1,7.6,9.4,5.8
2025-05-01,MKC,7.3,7.6,9.4,5.8
2025-06-01,MKC,6.7,7.6,9.4,5.8
2025-07-01,MKC,7.8,7.6,9.4,5.8
2025-08-01,MKC,4.4,7.6,9.4,5.8
2025-09-01,MKC,8.0,7.6,9.4,5.8
2025-10-01,MKC,6.0,7.6,9.4,5.8
2025-11-01,MKC,5.7,7.6,9.4,5.8
2025-12-01,MKC,7.1,7.6,9.4,5.8
2026-01-01,MKC,9.2,7.6,9.4,5.8
2026-02-01,MKC,8.9,7.6,9.4,5.8
2024-11-01,MLM,61.2,55.2,71.6,38.9
2024-12-01,MLM,86.9,55.2,71.6,38.9
2025-01-01,MLM,54.7,55.2,71.6,38.9
2025-02-01,MLM,73.1,55.2,71.6,38.9
2025-03-01,MLM,45.4,55.2,71.6,38.9
2025-04-01,MLM,84.0,55.2,71.6,38.9
2025-05-01,MLM,47.0,55.2,71.6,38.9
2025-06-01,MLM,25.8,55.2,71.6,38.9
2025-07-01,MLM,54.1,55.2,71.6,38.9
2025-08-01,MLM,59.9,55.2,71.6,38.9
