Date,Ticker,Ticker_name,Exposure,Category,model_score
2025-11-07,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,-16.0
2025-11-07,EPOL,ISHARES:MSCI POLAND,,Foreign,3.0
2025-11-07,EPU,ISHARES:MSCI PERU,,Foreign,38.0
2025-11-07,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,-12.0
2025-11-07,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,8.0
2025-11-07,EQT,EQT ,Energy,Energy,5.0
2025-11-07,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,-13.0
2025-11-07,ES,EVERSOURCE ENERGY,Utilities,Utilities,16.0
2025-11-07,ES=F,E-MINI S&P 500 FUTURES,,Futures,-33.0
2025-11-07,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,0.0
2025-11-07,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,35.0
2025-11-07,ETR,ENTERGY ,Utilities,Utilities,37.0
2025-11-07,EVRG,"EVERGY, INC.",Utilities,Utilities,15.0
2025-11-07,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,-11.0
2025-11-07,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,-13.0
2025-11-07,EWC,ISHARES:MSCI CANADA,,Foreign,5.0
2025-11-07,EWD,ISHARES:MSCI SWEDEN,,Foreign,44.0
2025-11-07,EWG,ISHARES:MSCI GERMANY,,Foreign,-51.0
2025-11-07,EWH,ISHARES:MSCI HONG KONG,,Foreign,34.0
2025-11-07,EWI,ISHARES:MSCI ITALY,,Foreign,-5.0
2025-11-07,EWJ,ISHARES:MSCI JAPAN,,Foreign,-48.0
2025-11-07,EWK,ISHARES:MSCI BELGIUM,,Foreign,22.0
2025-11-07,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-38.0
2025-11-07,EWM,ISHARES:MSCI MALAYSIA,,Foreign,-18.0
2025-11-07,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,19.0
2025-11-07,EWO,ISHARES:MSCI AUSTRIA,,Foreign,22.0
2025-11-07,EWP,ISHARES:MSCI SPAIN,,Foreign,11.0
2025-11-07,EWQ,ISHARES:MSCI FRANCE,,Foreign,-16.0
2025-11-07,EWS,ISHARES:MSCI SINGAPORE,,Foreign,39.0
2025-11-07,EWT,ISHARES:MSCI TAIWAN,,Foreign,-19.0
2025-11-07,EWU,ISHARES:MSCI UK,,Foreign,-10.0
2025-11-07,EWW,ISHARES:MSCI MEXICO,,Foreign,-28.0
2025-11-07,EWY,ISHARES:MSCI S KOREA,,Foreign,-3.0
2025-11-07,EWZ,ISHARES:MSCI BRAZIL,,Foreign,-2.0
2025-11-07,EXC,EXELON ,Utilities,Utilities,6.0
2025-11-07,EXE,EXPAND ENERGY ,Energy,Energy,-20.0
2025-11-07,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,-50.0
2025-11-07,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,-32.0
2025-11-07,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,10.0
2025-11-07,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,-15.0
2025-11-07,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,-57.0
2025-11-07,FAST,FASTENAL COMPANY,Industrials,Industrials,21.0
2025-11-07,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,5.0
2025-11-07,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,3.0
2025-11-07,FDX,FEDEX ,Industrials,Industrials,-26.0
2025-11-07,FE,FIRSTENERGY CORP.,Utilities,Utilities,44.0
2025-11-07,FFIV,"F5, INC.",Information Technology,Information Technology,14.0
2025-11-07,FI,"FISERV, INC.",Financials,Financials,0.0
2025-11-07,FICO,FAIR ISAAC ,Information Technology,Information Technology,-5.0
2025-11-07,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,68.0
2025-11-07,FITB,FIFTH THIRD BANCORP,Financials,Financials,-22.0
2025-11-07,FOXA,FOX ,Communication Services,Communication Services,32.0
2025-11-07,FRO,FRONTLINE PLC,,MR Discretion,-18.0
2025-11-07,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-37.0
2025-11-07,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,-4.0
2025-11-07,FTI,TECHNIPFMC PLC,,MR Discretion,-60.0
2025-11-07,FTNT,"FORTINET, INC.",Information Technology,Information Technology,55.0
2025-11-07,FTV,FORTIVE ,Industrials,Industrials,21.0
2025-11-07,FVX,5 YR TSY YLD NDX,Yields,Yields,-37.0
2025-11-07,FXA,INVESCO:AU DOLLAR,,Currencies,-22.0
2025-11-07,FXB,INVESCO:GBP STERLING,,Currencies,47.0
2025-11-07,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,47.0
2025-11-07,FXE,INVESCO:EURO,,Currencies,17.0
2025-11-07,FXY,INVESCO:JAPANESE YEN,,Currencies,7.0
2025-11-07,GD,GENERAL DYNAMICS ,Industrials,Industrials,29.0
2025-11-07,GDDY,GODADDY INC.,Information Technology,Information Technology,-7.0
2025-11-07,GDX,VANECK:GOLD MINERS,,Commodities,37.0
2025-11-07,GDXJ,VANECK:JR GOLD MINERS,,Commodities,37.0
2025-11-07,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,8.0
2025-11-07,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,-35.0
2025-11-07,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,-18.0
2025-11-07,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,50.0
2025-11-07,GEV,GE VERNOVA INC.,Industrials,Industrials,53.0
2025-11-07,GGB,GERDAU SA,,MR Discretion,-34.0
2025-11-07,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,5.0
2025-11-07,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,38.0
2025-11-07,GL,GLOBE LIFE INC.,Financials,Financials,-22.0
2025-11-07,GLATF,GLOBAL ATOMIC ,,MR Discretion,48.0
2025-11-07,GLD,SPDR GOLD,Gold,Commodities,-16.0
2025-11-07,GLW,CORNING INC.,Information Technology,Information Technology,46.0
2025-11-07,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,-11.0
2025-11-07,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,-45.0
2025-11-07,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,-19.0
2025-11-07,GOOGL,ALPHABET INC.,Communication Services,Communication Services,36.0
2025-11-07,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,Consumer Discretionary,40.0
2025-11-07,GPN,GLOBAL PAYMENTS INC.,Financials,Financials,35.0
2025-11-07,GREK,GLBL X MSCI GREECE,,Foreign,37.0
2025-11-07,GRMN,GARMIN LTD,Consumer Discretionary,Consumer Discretionary,0.0
2025-11-07,GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,Financials,24.0
2025-11-07,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,-56.0
2025-11-07,HAL,HALLIBURTON COMPANY,Energy,Energy,-10.0
2025-11-07,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,12.0
2025-11-07,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,35.0
2025-11-07,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,15.0
2025-11-07,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,-2.0
2025-11-07,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,-5.0
2025-11-07,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,-19.0
2025-11-07,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-48.0
2025-11-07,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,-40.0
2025-11-07,HOLX,"HOLOGIC, INC.",Health Care,Health Care,-74.0
2025-11-07,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,15.0
2025-11-07,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,-1.0
2025-11-07,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,65.0
2025-11-07,HPQ,HP INC.,Information Technology,Information Technology,-31.0
2025-11-07,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,30.0
2025-11-07,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,-15.0
2025-11-07,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,-17.0
2025-11-07,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,59.0
2025-11-07,HUBB,HUBBELL INC.,Industrials,Industrials,-50.0
2025-11-07,HUM,HUMANA INC.,Health Care,Health Care,-14.0
2025-11-07,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,40.0
2025-11-07,HYD,VANECK:HIGH YIELD MUNI,,Bonds,30.0
2025-11-07,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,-7.0
2025-11-07,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,76.0
2025-11-07,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,11.0
2025-11-07,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,-22.0
2025-11-07,ICL,ICL GROUP LTD,,MR Discretion,13.0
2025-11-07,IDXX,"IDEXX LABORATORIES, INC.",Health Care,Health Care,13.0
2025-11-07,IEF,ISHARES:7-10 TRS BD ETF,Bonds,Bonds,53.0
2025-11-07,IEX,IDEX ,Industrials,Industrials,-49.0
2025-11-07,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC.,Materials,Materials,-24.0
2025-11-07,INCY,INCYTE ,Health Care,Health Care,47.0
2025-11-07,INDA,ISHARES:MSCI INDIA,,Foreign,-2.0
2025-11-07,INTC,INTEL ,Information Technology,Information Technology,4.0
2025-11-07,INTU,INTUIT INC.,Information Technology,Information Technology,-13.0
2025-11-07,INVH,INVITATION HOMES INC.,Real Estate,Real Estate,-7.0
2025-11-07,IP,INTERNATIONAL PAPER COMPANY,Materials,Materials,74.0
2025-11-07,IPG,THE INTERPUBLIC GROUP,Communication Services,Communication Services,26.0
2025-11-07,IQV,IQVIA HOLDINGS INC,Health Care,Health Care,-4.0
2025-11-07,IR,INGERSOLL RAND INC.,Industrials,Industrials,-7.0
2025-11-07,IRM,IRON MOUNTAIN INC.,Real Estate,Real Estate,-7.0
2025-11-07,ISRG,"INTUITIVE SURGICAL, INC.",Health Care,Health Care,-27.0
